Filename	MSE	PSNR(dB)	SSIM		Avg_%_Mod
yes_yes_Y51	0.0104	19.85		0.8264		8.15
yes_yes_Y52	0.0101	19.96		0.7074		7.71
yes_yes_Y53	0.0095	20.24		0.6600		7.34
yes_yes_Y54	0.0101	19.95		0.7002		7.81
yes_yes_Y55	0.0053	22.73		0.6930		5.29
yes_yes_Y56	0.0060	22.24		0.8293		5.47
yes_yes_Y58	0.0059	22.33		0.8451		5.51
yes_yes_Y59	0.0047	23.30		0.8623		5.06
yes_yes_Y60	0.0081	20.89		0.7378		7.03
yes_yes_Y61	0.0075	21.25		0.7299		6.55
yes_yes_Y62	0.0084	20.73		0.6736		7.05
yes_yes_Y65	0.0066	21.83		0.7475		6.00
yes_yes_Y66	0.0061	22.13		0.7112		5.61
yes_yes_Y67	0.0098	20.07		0.6115		6.40
yes_yes_Y69	0.0050	23.04		0.7179		5.29
yes_yes_Y6	0.0101	19.96		0.7033		7.73
yes_yes_Y70	0.0101	19.95		0.7002		7.81
yes_yes_Y71	0.0078	21.05		0.7400		6.62
yes_yes_Y73	0.0058	22.36		0.7085		5.70
yes_yes_Y74	0.0053	22.73		0.6930		5.29
yes_yes_Y75	0.0060	22.24		0.7806		6.05
yes_yes_Y76	0.0055	22.63		0.6973		5.52
yes_yes_Y77	0.0088	20.58		0.6653		6.76
yes_yes_Y78	0.0092	20.37		0.6584		6.98
yes_yes_Y79	0.0067	21.76		0.7784		6.26
yes_yes_Y7	0.0130	18.85		0.7103		8.77
yes_yes_Y81	0.0083	20.79		0.7703		7.16
yes_yes_Y82	0.0059	22.28		0.7984		5.75
yes_yes_Y85	0.0038	24.19		0.8563		4.75
yes_yes_Y86	0.0116	19.37		0.7623		8.11
yes_yes_Y89	0.0093	20.33		0.8300		7.50
yes_yes_Y8	0.0089	20.52		0.8411		6.03
yes_yes_Y90	0.0051	22.94		0.6193		4.69
yes_yes_Y91	0.0084	20.78		0.7378		6.55
yes_yes_Y92	0.0111	19.53		0.6566		7.96
yes_yes_Y95	0.0098	20.08		0.6194		6.93
yes_yes_Y96	0.0139	18.58		0.6967		8.89
yes_yes_Y97	0.0104	19.82		0.8147		8.01
yes_yes_Y98	0.0078	21.06		0.6791		6.70
yes_yes_Y99	0.0110	19.58		0.7666		7.75
yes_yes_Y9	0.0070	21.56		0.6525		6.04
no_no_1 no	0.0095	20.21		0.6325		6.59
no_no_10 no	0.0168	17.73		0.6340		10.42
no_no_11 no	0.0085	20.69		0.5193		5.31
no_no_12 no	0.0044	23.59		0.5800		4.19
no_no_13 no	0.0072	21.43		0.5733		5.52
no_no_14 no	0.0088	20.57		0.7039		6.54
no_no_15 no	0.0055	22.63		0.7447		5.57
no_no_17 no	0.0131	18.84		0.7051		8.64
no_no_18 no	0.0107	19.71		0.5976		7.09
no_no_19 no	0.0056	22.53		0.6652		5.01
no_no_2 no	0.0072	21.44		0.7250		6.47
no_no_20 no	0.0057	22.45		0.7392		5.61
no_no_21 no	0.0058	22.38		0.7914		5.25
no_no_22 no	0.0062	22.10		0.6679		5.59
no_no_23 no	0.0072	21.41		0.7491		6.47
no_no_24 no	0.0090	20.47		0.7033		7.05
no_no_25 no	0.0046	23.40		0.6859		4.67
no_no_26 no	0.0120	19.20		0.7581		8.60
no_no_27 no	0.0131	18.84		0.7051		8.64
no_no_28 no	0.0136	18.66		0.8006		9.00
no_no_29 no	0.0090	20.43		0.7460		7.70
no_no_3 no	0.0109	19.63		0.7144		7.52
no_no_30 no	0.0071	21.49		0.7087		6.55
no_no_31 no	0.0113	19.46		0.7208		8.59
no_no_32 no	0.0047	23.23		0.5795		4.32
no_no_33 no	0.0113	19.46		0.6518		7.93
no_no_34 no	0.0151	18.21		0.7407		10.21
no_no_35 no	0.0071	21.51		0.6401		5.57
no_no_36 no	0.0086	20.66		0.7201		6.25
no_no_37 no	0.0083	20.79		0.5995		5.51
no_no_38 no	0.0098	20.08		0.7302		6.98
no_no_39 no	0.0034	24.71		0.8901		3.73
no_no_4 no	0.0082	20.86		0.7191		6.56
no_no_40 no	0.0093	20.31		0.6864		6.64
no_no_41 no	0.0093	20.31		0.6864		6.64
no_no_42 no	0.0072	21.43		0.5733		5.52
no_no_43 no	0.0028	25.48		0.6189		3.66
no_no_44no	0.0051	22.88		0.8795		5.06
no_no_45 no	0.0052	22.83		0.6452		4.84
no_no_46 no	0.0047	23.28		0.6077		4.60
no_no_47 no	0.0067	21.71		0.7277		5.96
no_no_48 no	0.0080	20.99		0.6558		6.25
no_no_49 no	0.0089	20.50		0.6389		6.40
no_no_5 no	0.0093	20.33		0.5941		6.71
no_no_50 no	0.0144	18.41		0.5994		9.10
no_no_6 no	0.0071	21.47		0.6419		5.52
no_no_7 no	0.0161	17.93		0.6029		9.53
no_no_8 no	0.0098	20.08		0.7302		6.98
no_no_9 no	0.0168	17.73		0.6340		10.42
no_no_N11	0.0143	18.43		0.6860		8.64
no_no_N15	0.0057	22.45		0.6453		5.27
no_no_N16	0.0084	20.74		0.8148		6.64
no_no_N17	0.0086	20.65		0.8305		6.78
no_no_N19	0.0092	20.35		0.8342		6.68
no_no_N1	0.0037	24.36		0.6779		4.42
no_no_N20	0.0138	18.61		0.7949		8.86
no_no_N21	0.0062	22.07		0.7126		5.69
no_no_N22	0.0140	18.55		0.6618		8.32
no_no_N26	0.0034	24.65		0.7128		4.17
no_no_N2	0.0073	21.38		0.7161		6.65
no_no_N3	0.0089	20.51		0.7360		6.63
no_no_N5	0.0082	20.86		0.7191		6.56
no_no_N6	0.0089	20.49		0.7316		7.16
no_no_no 100	0.0085	20.73		0.6442		6.74
no_no_no 10	0.0034	24.66		0.6509		3.89
